date;SP500;NASDAQ
2023-03-21-09-07;3951.57;12562.61
2023-03-21-09-08;3951.57;12562.61
2023-03-21-09-09;3951.57;12562.61
2023-03-21-09-10;3951.57;12562.61
2023-03-21-09-11;3951.57;12562.61
2023-03-21-09-12;3951.57;12562.61
2023-03-21-09-13;3951.57;12562.61
2023-03-21-09-14;3951.57;12562.61
2023-03-21-09-15;3951.57;12562.61
2023-03-21-09-16;3951.57;12562.61
2023-03-21-09-17;3951.57;12562.61
2023-03-21-09-18;3951.57;12562.61
2023-03-21-09-19;3951.57;12562.61
2023-03-21-09-20;3951.57;12562.61
2023-03-21-09-21;3951.57;12562.61
2023-03-21-09-22;3951.57;12562.61
2023-03-21-09-23;3951.57;12562.61
2023-03-21-09-24;3951.57;12562.61
2023-03-21-09-25;3951.57;12562.61
2023-03-21-09-26;3951.57;12562.61
2023-03-21-09-27;3951.57;12562.61
2023-03-21-09-28;3951.57;12562.61
2023-03-21-09-29;3951.57;12562.61
2023-03-21-09-30;3984.95;12562.61
2023-03-21-09-31;3990.44;12659.59
2023-03-21-09-32;3993.58;12675.86
2023-03-21-09-33;3993.95;12668.18
2023-03-21-09-34;3994.06;12672.06
2023-03-21-09-35;3995.61;12682.03
2023-03-21-09-36;3992.13;12674.29
2023-03-21-09-37;3992.90;12672.31
2023-03-21-09-38;3992.27;12666.61
2023-03-21-09-39;3991.27;12659.06
2023-03-21-09-40;3991.84;12660.31
2023-03-21-09-41;3990.92;12657.10
2023-03-21-09-42;3990.09;12660.15
2023-03-21-09-43;3992.75;12672.90
2023-03-21-09-44;3991.59;12664.27
2023-03-21-09-45;3990.54;12659.46
2023-03-21-09-46;3992.85;12663.71
2023-03-21-09-47;3992.96;12664.82
2023-03-21-09-48;3990.90;12658.13
2023-03-21-09-49;3988.12;12643.88
2023-03-21-09-50;3989.97;12655.51
2023-03-21-09-51;3990.15;12661.29
2023-03-21-09-52;3988.99;12652.20
2023-03-21-09-53;3990.04;12660.94
2023-03-21-09-54;3989.21;12661.88
2023-03-21-09-55;3991.33;12669.58
2023-03-21-09-56;3992.26;12672.38
2023-03-21-09-57;3992.38;12671.23
2023-03-21-09-58;3992.68;12673.97
2023-03-21-09-59;3993.89;12682.31
2023-03-21-10-00;3996.02;12691.39
2023-03-21-10-01;3996.41;12693.21
2023-03-21-10-02;3997.17;12699.93
2023-03-21-10-03;3994.31;12687.67
2023-03-21-10-04;3993.94;12684.60
2023-03-21-10-05;3990.56;12673.31
2023-03-21-10-06;3988.04;12659.91
2023-03-21-10-07;3985.87;12647.07
2023-03-21-10-08;3987.68;12655.09
2023-03-21-10-09;3987.30;12655.46
2023-03-21-10-10;3987.78;12664.14
2023-03-21-10-11;3991.83;12672.75
2023-03-21-10-12;3990.68;12672.16
2023-03-21-10-13;3988.24;12660.11
2023-03-21-10-14;3988.52;12660.95
2023-03-21-10-15;3985.76;12647.45
2023-03-21-10-16;3983.30;12636.63
2023-03-21-10-17;3983.74;12641.27
2023-03-21-10-18;3984.87;12645.28
2023-03-21-10-19;3983.02;12638.92
2023-03-21-10-20;3983.41;12642.06
2023-03-21-10-21;3983.08;12641.46
2023-03-21-10-22;3983.31;12643.07
2023-03-21-10-23;3982.60;12638.95
2023-03-21-10-24;3980.15;12627.72
2023-03-21-10-25;3978.39;12619.25
2023-03-21-10-26;3977.39;12613.01
2023-03-21-10-27;3978.10;12613.92
2023-03-21-10-28;3977.24;12614.29
2023-03-21-10-29;3980.11;12618.86
2023-03-21-10-30;3979.60;12618.86
2023-03-21-10-31;3980.33;12623.86
2023-03-21-10-32;3980.70;12623.89
